WKT,EH,TT,ÜT,Touristen,Gesamt
"MULTIPOLYGON (((8.68913917270826 50.5917022549831,8.69014848087192 50.5919260695137,8.69089792053368 50.5915223131422,8.69063804515926 50.5908947452834,8.68962874768801 50.5906709342683,8.68887931489885 50.5910746875965,8.68913917270826 50.5917022549831)))","35432","4332","3732","8064","43496"
"MULTIPOLYGON (((8.69058947775384 50.6062708578735,8.69159900887927 50.6064946547514,8.69234860226224 50.6060909981854,8.69208865764535 50.6054635477858,8.69107913721752 50.6052397544223,8.69032955070907 50.605643407944,8.69058947775384 50.6062708578735)))","2338","238","138","376","2714"
"MULTIPOLYGON (((8.6983896288645 50.6250919514851,8.69939949912735 50.6253156778147,8.70014928066558 50.624912105835,8.69988918506798 50.6242848105722,8.69887932551249 50.6240610877551,8.69812955084734 50.6244646566882,8.6983896288645 50.6250919514851)))","259214","191214","124514","315728","574942"
"MULTIPOLYGON (((8.72333725565963 50.5901611637002,8.72434683498918 50.5903847037106,8.72509619702304 50.5899806794274,8.72483597287782 50.5893531181812,8.72382640425785 50.5891295816825,8.72307704907367 50.5895336029183,8.72333725565963 50.5901611637002)))","142417","39017","23117","62134","204551"
"MULTIPOLYGON (((8.64462671568161 50.5726997473625,8.64563536680466 50.5729239274924,8.64638468154755 50.5725203604192,8.6461253382693 50.5718926162525,8.64511669780981 50.5716684396439,8.64436738996516 50.5720720036807,8.64462671568161 50.5726997473625)))","157685","67885","41585","109470","267155"
"MULTIPOLYGON (((8.67522529690845 50.5469961114198,8.67623384042858 50.5472200559738,8.67698282574534 50.5468160644798,8.67672326066905 50.5461881314705,8.67571472782048 50.545964190436,8.67496574937671 50.5463681788913,8.67522529690845 50.5469961114198)))","8580","380","380","760","9340"
"MULTIPOLYGON (((8.69692045981238 50.6281844256871,8.69793036219783 50.6284081625542,8.69868017957527 50.6280046250904,8.69842008769275 50.627377353806,8.69741019601489 50.6271536204515,8.69666038551208 50.6275571548688,8.69692045981238 50.6281844256871)))","7990","1190","490","1680","9670"
"MULTIPOLYGON (((8.63955513822602 50.5692919018193,8.64056369652398 50.569516124076,8.64131298366995 50.5691125691473,8.64105370561713 50.5684847949975,8.64004515797907 50.5682605762628,8.63929587773403 50.5686641281559,8.63955513822602 50.5692919018193)))","152429","119029","58629","177658","330087"
"MULTIPOLYGON (((8.71099842595776 50.6267452190034,8.71200842837139 50.6269688431667,8.71275820512202 50.626565189284,8.71249797259405 50.6259379142865,8.71148798089484 50.6257142936343,8.71073821100929 50.6261179444687,8.71099842595776 50.6267452190034)))","3593","993","593","1586","5179"
"MULTIPOLYGON (((8.66154160257794 50.558213304975,8.66255019023591 50.5584373550044,8.66329931989673 50.5580335511802,8.66303985501546 50.5574057003644,8.66203127802537 50.5571816538554,8.66128215524878 50.5575854546419,8.66154160257794 50.558213304975)))","21750","7850","7850","15700","37450"
"MULTIPOLYGON (((8.71275820512202 50.626565189284,8.71376822003103 50.6267887993574,8.7145179916967 50.6263851309222,8.71425774158961 50.6257578554623,8.71324773739586 50.6255342488998,8.71249797259405 50.6259379142865,8.71275820512202 50.626565189284)))","348101","156701","131101","287802","635903"
"MULTIPOLYGON (((8.72306614193076 50.5519049063571,8.72407516670948 50.5521284641996,8.72482411934068 50.5517241515345,8.7245640403509 50.5510962840721,8.72355502626991 50.5508727297436,8.72280608048111 50.5512770393635,8.72306614193076 50.5519049063571)))","18851","3551","2151","5702","24553"
"MULTIPOLYGON (((8.63785093530419 50.5939945365033,8.63885983549393 50.5942187624632,8.63960939054279 50.5938154079059,8.63935003849508 50.5931878304256,8.6383411489719 50.5929636079866,8.63759160082998 50.593366959507,8.63785093530419 50.5939945365033)))","368","268","0","268","636"
"MULTIPOLYGON (((8.66556064281339 50.616673625349,8.66657010919964 50.6168976192616,8.66731985873271 50.6164942293156,8.66706013498657 50.615866848499,8.66605067928814 50.6156428581029,8.66530093664818 50.6160462450071,8.66556064281339 50.616673625349)))","264471","172171","106571","278742","543213"
"MULTIPOLYGON (((8.61678709118224 50.5784802504863,8.61779558591632 50.5787046519604,8.61854501154191 50.5783013374953,8.61828593551576 50.5776736245894,8.61727745143262 50.5774492266395,8.61652803272477 50.5778525380713,8.61678709118224 50.5784802504863)))","1264","164","0","164","1428"
